,0,1
0,0.5,0.5
1,1.5,1.5
2,2.5,2.5
3,3.5,3.5
4,4.5,4.5
5,5.5,5.5
6,6.5,6.5
7,7.5,7.5
8,7.5,8.5
9,7.5,9.5
10,7.5,10.5
11,7.5,11.5
12,7.5,12.5
13,7.5,13.5
14,7.5,14.5
15,7.5,15.5
16,7.5,16.5
17,7.5,17.5
18,7.5,18.5
19,7.5,19.5
20,7.5,20.5
21,7.5,21.5
22,7.5,22.5
23,7.5,23.5
24,7.5,24.5
25,7.5,25.5
26,7.5,26.5
27,7.5,27.5
28,7.5,28.5
29,7.5,29.5
30,7.5,30.5
31,7.5,31.5
32,7.5,32.5
33,7.5,33.5
34,7.5,34.5
35,7.5,35.5
36,7.5,36.5
37,7.5,37.5
38,7.5,38.5
39,7.5,39.5
40,7.5,40.5
41,7.5,41.5
42,7.5,42.5
43,7.5,43.5
44,7.5,44.5
45,8.5,45.5
46,9.5,46.5
47,10.5,47.5
48,11.5,48.5
49,12.5,49.5
50,13.5,50.5
51,14.5,51.5
52,15.5,52.5
53,16.5,53.5
54,17.5,54.5
55,18.5,55.5
56,18.5,56.5
57,18.5,57.5
58,18.5,58.5
59,18.5,59.5
60,18.5,60.5
61,18.5,61.5
62,19.5,62.5
63,20.5,62.5
64,21.5,62.5
65,22.5,62.5
66,23.5,62.5
67,24.5,62.5
68,25.5,62.5
69,26.5,62.5
70,27.5,62.5
71,28.5,62.5
72,29.5,62.5
73,30.5,63.5
74,31.5,64.5
75,32.5,65.5
76,33.5,66.5
77,34.5,67.5
78,35.5,68.5
79,36.5,69.5
80,37.5,70.5
81,38.5,71.5
82,39.5,72.5
83,40.5,73.5
84,41.5,74.5
85,42.5,75.5
86,43.5,76.5
87,44.5,77.5
88,45.5,78.5
89,46.5,79.5
90,47.5,80.5
91,48.5,81.5
92,49.5,82.5
93,50.5,83.5
94,51.5,84.5
95,52.5,85.5
96,53.5,86.5
97,54.5,87.5
98,55.5,88.5
99,56.5,88.5
100,57.5,88.5
101,58.5,88.5
102,59.5,88.5
103,60.5,88.5
104,61.5,88.5
105,62.5,88.5
106,63.5,88.5
107,64.5,88.5
108,65.5,88.5
109,66.5,88.5
110,67.5,88.5
111,68.5,88.5
112,69.5,88.5
113,70.5,88.5
114,71.5,88.5
115,72.5,88.5
116,73.5,88.5
117,74.5,88.5
118,75.5,88.5
119,76.5,88.5
120,77.5,88.5
121,78.5,88.5
122,79.5,88.5
123,80.5,88.5
124,81.5,88.5
125,82.5,88.5
126,83.5,88.5
127,84.5,88.5
128,85.5,88.5
129,86.5,88.5
130,87.5,88.5
131,88.5,89.5
132,89.5,89.5
